安排,_SCHEDULE
用地,_GROUND
视图,_VIEW
外壳,_SHELL
登记,_REGISTER
营业,_BUSINESS
住所,_RESIDENCE
主要,_MAIN
职工,_WORKERS
人数,_PEOPLE_NUM
男性,_MALE
女性,_FMALE
博士,_DOCTOR
硕士,_MASTER
本科,_UNDERGRADUATE
大专,_COLLEGE
资产,_ASSETS
负债,_DEBT
总计,_TATAL
营业,_BUSINESS
收入,_INCOME
总额,_TATAL
综合,_MUL
统计,_STATISTICS
专利,_PATENT
统一,_UNIFY
纳入,_FIT_INTO
工艺,_TECHNICS
督查,_SUPERVISER
主持,_PRESIDE
反馈,_FEEDBACK
时限,_TIME_LIMIT
配置,_CONFIG
查阅,_CONSULT
监督,_SUPERVISE
频次,_FREQUENCY
隐患,_DANGER
落实,_ACTUALIZE
中文,_CHIANESE
微信,_WEIXIN
应用,_APPLICATION
导航,_NAVIGATION
终端,_TERMINAL
引用,_RER
叶子,_LEAF
条目,_ITEM
字典,_DICTIONARY
语言,_LANGUAGE
管理,_MANAGE
样式,_SYTLE
国家,_COUNTRY
名称,_NAME
移动,_MOBILE
履历,_RESUME
成绩,_ACHIEVEMENT
学校,_UNIVERSITIES
入职,_ENTRY
离职,_QUIT
头衔,_RANK
入学,_ENROL
业绩,_ACHIEVEMENT
个人,_PERSONAL
技能,_SKILL
颁发,_AWARD
1月,_JAN
2月,_FEB
3月,_MAR
4月,_APR
5月,_MAY
6月,_JUN
7月,_JUL
8月,_AUG
9月,_SEPT
URL,_URL
OA,_OA
被,_BE
待,_WAIT
风,_WIND
父,_PARENT
行,_ROW
号,_NO
及,_AND
量,_NUMBER
列,_COLUMN
名,_NAME
年,_YEAR
人,_PERSON
日,_DAY
数,_NUMBER
头,_HEAD
像,_IMG
写,_WRITE
新,_CURR
源,_SOURCE
月,_MONTH
值,_VALUE
主,_MASTER
总,_TOTAL
组,_GROUP
氮,_NI
氨,_NH
磷,_PH
硫,_SU
汞,_HG
铬,_GE
酚,_PHE
砷,_AS
镉,_CD
书,_BOOK
户,_FAMILY
预,_PREHAND
类,_CLASS
键,_KEY
域,_DOMAIN
首,_FIRST
域,_DOMAIN
表,_TABLE
原,_ORIGINAL
地,_ADDRESS
